one,two,three,four,five,y
1.277187953,63.99548178,-87.95364247,-0.196252078,25.12254459,0
1.304233885,63.53406595,-88.16872156,-0.634592691,25.59312841,0
1.325478661,63.09210208,-88.22117002,-1.077191575,25.7118753,0
1.311075379,63.17820152,-88.31207235,-1.142606767,25.86763989,0
1.288850335,63.35142863,-88.46541011,-1.149211967,25.63791765,0
1.298465519,63.34840335,-88.58377056,-1.142253663,25.72069017,0
1.316384123,64.03955897,-89.03484211,-1.379508181,26.06360856,0
1.324788121,64.75606685,-89.79034783,-1.322574455,26.85123739,0
1.620369161,68.67410437,89.94234466,-1.522351587,26.25670412,0
1.327595364,71.82031621,89.74095174,-1.881405256,25.17122965,0
1.273555813,72.79665126,89.75088404,-1.87899751,24.8001382,0
1.164052109,73.95006411,89.7822623,-1.826692473,24.00893467,0
1.132250406,73.89143383,89.75079018,-1.777622486,23.87106898,0
1.200461497,73.64533999,-89.83029692,-1.633622392,24.11609728,0
1.222863565,73.39468764,-89.84256837,-1.552411112,24.22945479,0
1.214612474,73.37511449,-89.81536732,-1.516214784,24.27814198,0
1.13267204,73.46124925,-89.87428202,-1.387008033,23.70382269,0
1.038473193,71.87960612,-89.21234507,-1.087346222,23.50114636,0
1.004377931,69.28151019,-89.13544173,-1.036823397,23.5011693,0
0.953553565,67.13060025,-89.16752793,-1.018702528,22.87580085,0
0.968346506,64.06684895,-88.86407157,-1.155265114,23.40736548,0
1.039816262,62.49690947,-87.69921665,-1.569318995,23.34522208,0
1.051454156,61.71869129,-86.66575281,-1.740006902,23.10990837,0
1.013088156,59.59384378,-86.67799045,-1.789251924,22.67265879,0
0.962670961,58.34184665,-86.84167906,-1.792835346,21.40926788,0
1.763956985,55.27376094,-80.04808009,-3.504426228,18.28380121,0
2.880864534,55.85549679,-78.94200673,-3.656083261,21.20553157,0
1.404238091,56.05585879,-79.22307873,-3.482477888,19.93614693,0
1.636820213,56.14654173,-78.98630192,-3.266741795,20.06015013,0
1.776476245,56.19186349,-79.25251868,-3.073591609,21.03942724,0
1.778946744,57.0650604,-80.62538928,-2.627714786,22.33115988,0
1.541017782,59.58123501,-83.74278491,-2.386241641,22.88779998,0
1.268801471,61.95223335,-87.60126439,-2.244283695,23.57798521,0
1.035690585,63.33676187,87.94316758,-2.282300904,24.79509411,0
1.047276662,63.53938962,85.99345683,-2.36407237,25.73598154,0
0.847751067,63.47231477,79.82306067,-2.638837955,27.73026017,0
0.763798627,62.52635051,76.11724631,-2.757150528,28.86045473,0
0.806965952,63.19723079,74.6334592,-2.759978404,27.9929802,0
0.809194554,63.08727699,73.69873608,-3.194648625,27.99361509,0
0.843072723,62.74888157,73.5131638,-3.379433193,28.32323416,0
0.87753896,62.88292761,74.61334335,-3.742853192,27.61960805,0
0.914774654,62.78413005,75.1565486,-3.961789232,27.49397821,0
0.862607919,62.14259567,73.72205209,-4.188550854,28.39444518,0
0.908213009,62.34998584,74.3346443,-4.281755154,28.25234767,0
0.908277364,63.14561015,74.65897809,-4.337122177,27.43251846,0
0.730135028,64.08795827,78.46849271,-4.476779346,26.9051609,0
0.930665291,65.14706554,88.34480666,-4.559142851,23.61813325,0
0.909348087,62.99373183,-86.1373967,-4.758811919,22.74443314,0
1.21627329,61.09354375,-80.51984385,-5.23246033,21.75775445,0
1.493461143,58.97911074,-74.91695603,-5.373409439,20.34235573,0
1.79785869,57.7959635,-71.0440302,-5.022827239,19.47834932,0
1.700933396,57.81940002,-70.27716344,-4.664314311,19.07422762,0
1.658331928,57.91035281,-70.21314253,-4.326204133,19.10214764,0
1.89412337,57.03126071,-68.29813879,-4.061916337,18.91191586,0
1.881484066,56.82571943,-67.86727502,-3.937117747,18.81604512,0
2.028727995,57.00089247,-67.2617362,-3.793611249,18.89346322,0
2.120408006,57.49112259,-66.66339888,-3.546785787,18.80669786,0
2.879374047,57.786568,-65.99640447,-3.378839208,19.09198482,0
