face rotation,shoulder between angle,neck angle,shoulder angle,eye angle,y
1.14956361,47.25048195,89.2448965,2.724210472,136.4943007,0
1.142803315,47.28468781,89.23791056,2.715524703,137.3772927,0
1.141239136,47.68315776,89.2342831,2.70763299,133.5648564,0
1.138212806,48.02909908,89.20030796,2.968053577,130.7736916,0
1.136270875,48.69073269,89.24107392,2.992244097,128.4801146,0
1.129747434,48.79081684,89.2938057,3.04606979,127.5281563,0
1.094387342,49.42566705,89.29342208,3.049679277,127.4281522,0
1.090876132,49.81602777,89.33514589,3.049180587,125.2395836,0
1.07120326,50.98798701,89.50622676,2.991362129,118.2548757,0
1.077439217,52.92007445,89.58989086,2.805276901,109.039577,0
1.073884031,53.35910271,89.55363314,2.803072747,108.0544085,0
1.051357676,54.52781721,89.62479069,2.710546339,103.9561422,0
1.041665818,54.83366783,89.52413302,2.881639732,104.3960508,0
1.030043627,55.1205033,89.53956628,2.88332228,104.9965757,0
1.04898943,56.2640517,89.32337354,2.956020549,100.8625109,0
1.069466478,56.72745509,89.29515132,3.010626891,101.1530075,0
1.072852312,57.58989761,89.40483497,3.050953237,98.907493,0
1.070882869,58.73977749,89.67213961,2.815988323,93.88487298,0
1.066876506,59.7362927,89.95967883,2.700411039,92.81398418,0
1.068108336,60.96440904,-89.89447853,2.748865219,90.1238891,0
1.011852536,62.64783656,-89.26860519,2.510217737,85.92678512,0
0.960613964,63.5265937,-88.35110038,2.479457632,83.66471916,0
0.941454673,63.9842282,-87.80490427,2.428770257,83.30595773,0
0.952676554,66.20427312,-87.77117965,2.393863058,79.54938584,0
0.950077727,67.12337368,-87.37916695,2.337461813,76.34417998,0
1.020121509,68.37426892,-87.7997681,2.679067689,75.93031876,0
1.075877481,68.94710182,-88.65474077,2.681767657,75.41843002,0
1.134241451,69.15545399,-89.87893446,2.702608617,75.1028569,0
1.224897336,69.44317365,88.06028893,2.729335267,72.66906632,0
1.247739825,69.56957847,87.41106634,2.830923983,72.20145267,0
1.246905209,69.95216396,87.23406756,2.918367825,71.13403771,0
1.242944222,70.20989895,87.08741398,2.940778914,70.74665727,0
1.259976804,70.00939907,86.72913786,2.936186028,71.12223471,0
1.258548126,70.01037997,86.78192658,2.897892829,71.19672903,0
1.26092033,69.98297563,86.80702239,2.93323823,71.58345234,0
1.265811338,69.91770889,86.77622863,2.934159099,71.91749347,0
1.281527303,69.77598879,86.55598925,2.907139237,71.76155517,0
1.270228098,69.71087621,86.70794943,2.950589854,71.71054759,0
1.198886291,69.77852682,87.99799065,2.992977372,71.82761018,0
1.158460968,69.50786291,88.78098491,3.012436245,72.87529974,0
1.124100047,69.5871185,89.6059499,3.006477444,73.4690103,0
1.097023115,69.22553019,-89.87713575,3.135706937,74.57202208,0
1.062154509,68.83462324,-89.11396622,3.170068441,75.57995703,0
1.063731907,68.89767411,-89.17442405,3.47199988,75.34993228,0
1.062219931,69.023491,-89.22327522,3.920212133,75.69394394,0
1.071463491,69.14597757,-89.514372,4.134442349,75.78230655,0
1.069099482,68.66667203,-89.88681343,4.241096163,77.17345063,0
1.063021157,67.96518914,89.93970586,4.176690017,78.81232556,0
1.028437277,65.94366759,89.61446668,4.153206529,81.85649548,0
1.004551511,64.9702716,89.59219683,4.135650927,83.35784895,0
0.994806091,63.55455174,89.87308361,3.936474771,86.56036995,0
1.018077881,61.87303731,89.48795846,3.910025245,90.74462479,0
1.044222879,60.36903644,89.34893513,3.793970054,94.08036855,0
1.058099462,60.00243455,89.2579057,3.420688316,94.14793423,0
1.076569472,57.30399993,88.95804673,3.519222502,103.8488569,0
1.065273914,56.75627113,88.99824176,3.439099454,102.9859985,0
1.051283495,56.09046741,89.22850938,3.252956413,104.2563461,0
1.061515472,55.29495217,89.32429449,3.230156493,106.5940034,0
1.087939133,54.59210953,89.12343213,3.311539543,109.3950682,0
1.095460699,52.77102602,89.08176561,3.278386374,114.473304,0
1.115946562,51.81173411,88.94669628,3.235907911,117.9911061,0
1.103355686,51.12933674,88.94347319,3.242314786,119.2853482,0
1.101678571,50.28762655,88.94772878,3.359984315,124.1227888,0
1.097728392,49.59377522,88.93374689,3.275004053,129.1029005,0
1.097948426,49.26793617,88.92138644,3.248853625,131.3002151,0
1.087283114,49.1401153,88.95510399,3.254260854,131.5099961,0
1.099989298,49.19522961,88.89145699,3.464920521,131.5298858,0
1.129292605,49.05199102,88.76390656,3.460987432,132.3566589,0
1.153936336,48.91820328,88.64428368,3.463295581,132.7654278,0
1.160525576,48.33880327,88.65319941,3.529011044,136.8466892,0
1.16828931,47.93191151,88.63269524,3.542635357,138.7244499,0
1.175688023,47.61365136,88.57409582,3.66283939,139.5773436,0
1.180273507,47.57379438,88.54943625,3.583550292,139.4426474,0
1.18469348,47.56391578,88.55392022,3.555063608,139.3075895,0
1.185968739,47.59472106,88.55731863,3.509585997,139.0232229,0
1.179621385,47.60619192,88.59887995,3.446764461,138.9146595,0
1.179464532,47.63356749,88.57724539,3.49196868,138.6858831,0
1.180612737,47.63731882,88.5623337,3.432709574,138.4670451,0
1.18293888,47.53220027,88.55944007,3.441702962,139.4102635,0
1.180627554,47.37949864,88.59128275,3.301755944,140.1505637,0
1.184113826,47.30685267,88.59226472,3.166224925,140.7356101,0
1.183861696,47.26961876,88.6041994,3.109776416,141.0847351,0
1.177207957,47.34855268,88.67331001,3.042407817,141.3310956,0
1.170226298,47.42132372,88.72372423,2.872997667,141.6212983,0
1.168184683,47.47107859,88.71735421,2.845320093,141.5968491,0
1.173673509,47.59927617,88.68468155,2.864107962,140.8748019,0
1.175716896,47.62597539,88.66830797,2.861797541,139.6307964,0
1.183342696,47.64660398,88.62911959,2.885060231,138.164175,0
1.183965689,47.79750796,88.63387598,2.445992813,137.3575088,0
1.188514162,47.86268242,88.59499151,2.407240805,137.0960935,0
1.185206854,48.07166775,88.57816052,2.169560456,136.57997,0
1.183418089,48.13617895,88.55664297,2.116148612,136.1498926,0
1.194802566,48.47390937,88.393405,2.265059766,133.6531595,0
1.197835702,48.49236023,88.36793919,2.266673478,133.1845867,0
1.197860282,48.54581737,88.34023451,2.343629792,132.1671658,0
1.197739049,48.57283343,88.32599236,2.372246522,131.5097422,0
1.207695901,48.57514635,88.28445848,2.503558002,131.8894466,0
1.208566218,48.71305788,88.26749532,2.304550683,132.1674647,0
1.215919848,48.7340642,88.22790465,2.730994606,132.4462549,0
1.216276362,48.74128485,88.25150515,2.955085519,132.1844311,0
1.211228669,48.72237331,88.30465448,3.186333169,132.0567355,0
1.200040388,48.87244908,88.38608958,3.231577499,131.5017516,0
1.18703295,48.91935212,88.44425475,3.307090886,131.6067256,0
1.189878293,48.8880126,88.45352052,3.299004578,131.7387426,0
1.188582608,48.86663387,88.47817109,3.309425471,131.4040248,0
1.186734048,48.88876535,88.49692651,3.302108229,131.1982751,0
1.181253467,48.90447644,88.50494439,3.328373945,130.5860459,0
1.182326083,48.888574,88.48009118,3.324360758,130.5133882,0
1.191141657,48.95486625,88.40384966,3.374415514,130.7949235,0
1.193522254,49.22598302,88.39403185,3.122163766,129.9332986,0
1.175958448,49.72470616,88.46791783,2.833795344,127.6081071,0
1.172740494,49.88342629,88.47799455,2.907586844,127.0550352,0
1.168555162,49.91316084,88.49911524,2.939653475,126.5306354,0
1.171281354,49.92048683,88.48810846,2.88514413,126.833506,0
1.170855239,49.89967301,88.47295886,2.89648504,126.7895097,0
1.192306061,49.81396908,88.33797161,2.922034905,127.0200925,0
1.188915356,49.69893647,88.32467331,2.895219857,127.6053611,0
1.186302621,49.59886982,88.32708067,2.808845191,127.9448152,0
1.181214471,49.59973775,88.33320399,2.716342086,127.9066773,0
1.187576197,49.44392428,88.30518564,2.694142673,128.7193309,0
1.194700172,49.35997236,88.26966237,2.679593368,129.4786343,0
1.195202684,49.32032882,88.26297602,2.613354727,129.8714678,0
1.194241763,49.33307292,88.28577016,2.522629411,130.015406,0
1.191860355,49.35551093,88.30292715,2.408109139,129.6449832,0
1.190702593,49.3487354,88.3214992,2.243524475,129.5164984,0
1.191567619,49.38997289,88.34044135,2.075136087,129.2216112,0
1.192913982,49.3999212,88.33417021,2.034925444,129.3259138,0
1.193616339,49.40101267,88.33225341,2.024514836,129.3954221,0
1.196661726,49.39119277,88.33492094,2.014043374,129.6704758,0
1.193553317,49.45066422,88.33869929,1.922166278,130.541076,0
1.195435925,49.50950588,88.30383383,1.912926841,130.5148712,0
1.180551189,49.49558171,88.38011389,1.896280763,130.3636382,0
1.177052413,49.47866571,88.40754238,1.936027099,130.5476295,0
1.169233425,49.56203428,88.45321828,1.779785931,130.3417623,0
1.165418161,49.57153205,88.47451689,1.7390244,130.0408302,0
1.277076276,62.70880755,85.53025371,4.199023557,98.60872225,1
1.314354097,62.56746995,84.7693629,4.42503691,96.61165355,1
1.341016766,62.42828194,84.35405263,4.512606109,95.53358406,1
1.366115025,62.34441986,84.03279892,4.163553721,94.87191934,1
1.381985757,62.65989599,83.87898539,4.110370415,93.68871005,1
1.389920805,62.75794469,83.77665929,4.142788463,93.35822172,1
1.388157187,62.56799218,83.89058013,4.460130246,93.22648421,1
1.37690664,62.82200403,84.17576608,4.365608278,92.92536989,1
1.346056445,62.92859016,84.48861481,4.334706351,93.21777732,1
1.351790684,62.74626487,84.35141686,4.490716928,93.95904995,1
1.386482063,62.55198051,83.769936,4.751771341,94.67902803,1
1.394844422,62.67991556,83.62906607,5.315208549,94.9424133,1
1.39337483,62.8272583,83.65274128,5.575890245,94.40585496,1
1.410123945,63.13863,83.32287733,6.021630572,93.48390902,1
1.412498382,63.32635741,83.2150525,6.019920445,92.83414748,1
1.426699787,63.285286,83.00855537,6.187262532,92.54618842,1
1.437141035,63.19720828,82.8580471,6.355528464,92.40189569,1
1.431007485,63.01145301,82.77774764,6.54345041,92.35280659,1
1.424169372,62.97773927,82.80409372,6.447906582,91.98564359,1
