Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
0.66087988986,51.866458301,95.526271594,179.07528253,83.627491824,0
0.93612347101,59.527713016,94.748578117,179.38143752,61.579040025,0
0.85499024653,56.99744026,94.684189119,179.43127705,74.051522603,0
0.86018964114,58.250211733,94.718939781,179.53720758,72.030774503,0
0.79142815454,59.222745699,96.012563683,179.47329466,71.771383578,0
0.55956440687,52.8800074,95.214577746,179.3472867,110.77288798,0
0.42402228666,50.412483839,94.933881168,179.2671208,148.75244791,0
0.39961539302,50.777505171,95.452259705,178.80997536,133.04390156,0
0.33029349846,50.421633742,94.946260781,178.73826458,128.30336475,0
0.51725088954,49.666026075,94.677263239,178.71925221,155.87094821,0
1.3010015762,49.357780001,94.509736134,178.6991668,168.66501175,0
2.0015349459,49.287699864,94.536248298,178.62629086,178.56737603,0
1.2406809786,52.777164354,94.80527995,178.62018516,50.91186048,0
1.3475771462,56.32924666,94.927960951,178.65221595,35.514132243,0
1.2632341811,58.780231352,94.385113509,179.09885695,38.808207715,0
1.246306389,62.06916218,93.532044221,179.03168033,38.191100588,0
1.5822957691,57.592299532,93.317788828,178.94575401,36.334158499,0
1.4742741471,57.311926889,93.655001292,179.0173851,42.28721687,0
1.4446706285,57.189503222,93.631351961,178.89558505,44.125416768,0
1.6983166688,56.598335862,93.561292615,178.89561388,72.121351572,0
1.1917048047,63.080008127,93.240825464,178.97647574,53.343403668,0
1.2843034328,58.240857887,93.309685508,178.79823815,87.924748659,0
1.1036765297,58.154162072,93.608789063,178.70124846,74.374758301,0
1.2055968496,57.115154351,93.757619674,178.57454447,42.067283035,0
1.7798927985,53.378418517,93.85666342,178.41690641,104.30346713,0
1.0630926877,65.807013035,93.898466275,178.40299971,38.010238065,0
0.99388850316,70.154087543,93.939843003,178.58982981,39.581288593,0
0.98865781075,71.660247743,95.70620544,178.77102,45.862424519,0
0.94836661697,79.970736413,96.899147919,178.84396552,40.514551722,0
0.89691890973,79.767707995,101.15496843,178.92038668,44.739990596,0
0.85742310351,77.872745047,101.89015578,179.27291908,48.421802381,0
0.78226726457,82.468662661,107.94823158,179.5882213,46.217454427,0
0.74635232649,81.219194805,108.48332764,-179.89283662,47.302655848,0
0.72730828994,79.430562883,108.77807062,-178.6957823,49.867258124,0
0.70383643254,79.984560987,110.81059251,-178.11990603,48.387168205,0
0.69973664405,79.787276351,111.86169821,-177.64226,45.098281573,0
0.68195911641,79.760613402,113.2900657,-177.05563584,42.709536778,0
0.6830729248,80.104193575,113.39089,-175.90595991,41.667952867,0
0.66815271229,78.66032444,114.99051633,-175.59205181,37.789733898,0
0.67260756758,78.586650617,115.42641893,-175.01998926,36.595740021,0
0.63282443029,76.215934348,114.63060549,-174.96445107,36.464540673,0
0.59326888192,75.837293318,114.42340683,-174.61627954,35.230298111,0
0.59274040361,75.866910217,114.21254127,-174.5681854,35.592871661,0
0.59034920563,76.114839128,114.18544092,-174.31203967,35.601849765,0
0.57707048563,75.964416721,114.1150554,-174.19558937,35.464768026,0
0.56364272912,74.887593287,115.42174348,-174.15627265,34.599810444,0
0.54952827207,73.837332614,115.02292579,-174.13143132,35.294395342,0
0.52931766276,72.339718422,115.08510644,-174.15060226,37.092713261,0
0.55382755427,69.470320711,114.83629378,-174.24063571,37.658561173,0
0.52582462874,67.922811074,113.02249707,-174.25963815,39.200248189,0
0.49173632675,59.228727718,113.97256885,-175.08367519,33.517963715,0
0.50591196545,57.282975118,114.77921308,-176.25977308,27.679747465,0
0.48246865518,55.320669385,113.88661342,-176.94895755,26.49435991,0
0.44461592736,53.272237926,112.90260779,-177.31309317,25.822851604,0
0.38946797458,52.877972972,112.1658962,-177.53332275,27.923727644,0
0.3685998877,52.713432183,111.68045992,-178.12061128,31.117957937,0
0.32730629316,51.26170937,110.8011172,-178.25221911,29.098555659,0
0.30959418011,49.164537458,109.52666888,-178.37539944,21.818151928,0
0.27683745958,47.741462181,108.79201488,-178.52378667,13.964449534,0
0.22507165907,46.629283243,106.90633559,-178.74152204,16.113766178,0
0.16171107228,46.143936526,104.42494411,-179.10557068,13.828728003,0
0.18399520173,46.146388149,104.25288024,-179.63929123,21.842397451,0
0.10436858754,44.610760247,102.99483805,-179.74265516,32.443578254,0
0.059056118583,43.878764278,100.53263477,-179.84744613,143.58270647,0
0.26700619341,44.570378068,97.214745548,179.69877946,168.04171598,0
0.27867637304,45.081752805,96.997599521,179.28150378,174.12859969,0
0.30848838717,45.22129833,96.952989423,178.9714322,173.03916839,0
0.54654788947,44.374220415,95.258199323,178.97773467,170.26370897,0
0.83304256201,43.92175907,92.734804199,179.05676258,175.86868363,0
1.1460890655,43.562281903,90.327935318,178.02799171,174.42282636,0
